,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,83377.5,82908.5,84321.5,86126.5,86795.5,86755.5,87233.5,88750.5,89562.5,89673.5,89606.5,90979.5,92765.5,94300.5,93926.5,93290.5,93160.5,94707.5,96306.5,96903.5,96524.5,96349.5,96737.5,97469.5,97923.5,98103.5,97837.5,97504.5,97138.5,96765.5,96498.5,96278.5,95992.5,95772.5,95664.5,95771.5,95977.5,96144.5,96206.5,95886.5,95497.5,95143.5,94783.5,94368.5,93886.5,93464.5,93220.5
1,84473.5,84925.5,86644.5,87776.5,87416.5,86179.5,86412.5,87703.5,89579.5,90572.5,91264.5,92128.5,93255.5,93958.5,93713.5,93168.5,93484.5,94967.5,96808.5,97581.5,97622.5,97254.5,97380.5,97678.5,97764.5,97772.5,97615.5,97435.5,97195.5,97012.5,96877.5,96756.5,96548.5,96290.5,96194.5,96248.5,96327.5,96109.5,95836.5,95460.5,95421.5,95332.5,95203.5,94629.5,94091.5,93618.5,93222.5
2,89165.5,90223.5,90492.5,90156.5,88334.5,86984.5,86108.5,87314.5,88708.5,90353.5,92146.5,93631.5,94791.5,95478.5,94910.5,94029.5,93467.5,94568.5,96088.5,97965.5,98646.5,99032.5,99051.5,98894.5,98429.5,97862.5,97783.5,97806.5,97831.5,97646.5,97450.5,97334.5,97291.5,97177.5,97120.5,97095.5,96907.5,96525.5,95938.5,95484.5,95638.5,95904.5,95805.5,95015.5,94148.5,93432.5,93005.5
3,92234.5,91200.5,89684.5,87847.5,86713.5,86295.5,86244.5,86806.5,88436.5,90450.5,92751.5,94365.5,95504.5,96095.5,96278.5,94984.5,94002.5,93431.5,94734.5,96652.5,98271.5,99247.5,99646.5,99794.5,99404.5,98648.5,98217.5,98045.5,98105.5,97911.5,97630.5,97506.5,97451.5,97333.5,97253.5,97226.5,97179.5,97100.5,96553.5,96225.5,96115.5,96132.5,95635.5,94695.5,93791.5,93070.5,92615.5
4,92230.5,90293.5,88054.5,85726.5,85719.5,85816.5,85835.5,86551.5,88597.5,91625.5,94627.5,95835.5,96216.5,96620.5,97012.5,96812.5,95457.5,94588.5,94430.5,95056.5,95901.5,96762.5,97734.5,98789.5,99139.5,99009.5,98417.5,98129.5,97995.5,97997.5,97947.5,97832.5,97637.5,97159.5,96733.5,96426.5,96508.5,96398.5,96220.5,96055.5,95671.5,95097.5,94323.5,93808.5,93768.5,94182.5,94016.5
5,90618.5,89955.5,87995.5,86742.5,86810.5,87108.5,86851.5,87027.5,88465.5,91949.5,94830.5,96292.5,95842.5,96024.5,97156.5,98233.5,98090.5,97528.5,96456.5,96029.5,95444.5,95336.5,96328.5,97696.5,99096.5,99421.5,99200.5,98654.5,98433.5,98442.5,98272.5,98087.5,97689.5,97060.5,96433.5,95964.5,95456.5,95074.5,94577.5,94198.5,93577.5,92679.5,91858.5,91805.5,92782.5,94315.5,95548.5
6,89548.5,88444.5,86824.5,85336.5,86431.5,87725.5,88958.5,89052.5,89839.5,91253.5,93425.5,94526.5,94951.5,95428.5,96684.5,97975.5,99029.5,99073.5,98678.5,97949.5,97008.5,96606.5,96803.5,97737.5,98693.5,99369.5,99718.5,99626.5,99471.5,99129.5,98502.5,97936.5,97388.5,97058.5,96573.5,96017.5,95574.5,95033.5,94255.5,92956.5,91486.5,90127.5,89096.5,89141.5,90147.5,91779.5,93703.5
7,90411.5,88081.5,85452.5,84726.5,85737.5,88621.5,90696.5,91310.5,90500.5,90341.5,90788.5,92220.5,93631.5,94854.5,95502.5,96166.5,96707.5,97321.5,97951.5,97870.5,97674.5,97339.5,97213.5,97222.5,97296.5,97790.5,98344.5,99082.5,99520.5,99305.5,98799.5,98102.5,97657.5,97325.5,96801.5,96390.5,95804.5,94583.5,92884.5,90731.5,88854.5,87537.5,86856.5,86797.5,87080.5,88741.5,90595.5
8,91486.5,89478.5,88169.5,88377.5,89640.5,91823.5,93654.5,93505.5,92083.5,90068.5,89329.5,90404.5,92290.5,93157.5,93204.5,93054.5,93254.5,94512.5,95765.5,96624.5,97198.5,97460.5,97573.5,97143.5,96761.5,96659.5,97081.5,97916.5,98490.5,98664.5,98526.5,98269.5,98121.5,98094.5,97411.5,96599.5,94969.5,92617.5,90060.5,87887.5,87132.5,87214.5,87977.5,88229.5,88561.5,89495.5,90937.5
9,90451.5,90285.5,91555.5,92741.5,93494.5,94186.5,94505.5,94303.5,93099.5,90781.5,90010.5,90434.5,91738.5,91733.5,91245.5,90901.5,92277.5,94042.5,95892.5,96929.5,97924.5,98859.5,99163.5,98788.5,98297.5,97968.5,98041.5,97926.5,97630.5,97276.5,96962.5,96928.5,97299.5,97594.5,97335.5,96049.5,93465.5,90558.5,87747.5,86875.5,87390.5,88838.5,90544.5,91109.5,91088.5,90953.5,90998.5
